city,product_type,status,request_time,begin_trip_time,begintrip_lat,begintrip_lng,begintrip_address,dropoff_time,dropoff_lat,dropoff_lng,dropoff_address,distance,fare_currency,fare_amount
New York,UberComfort,completed,2017-02-27 12:18:00,2017-02-27 12:31:00,40.7587,-73.9787,Rockefeller Center,2017-02-27 12:44:00,40.7127,-74.0134,One World Trade Center,3.69,USD,11.38
San Francisco,UberPool,completed,2017-07-19 05:18:00,2017-07-19 05:22:00,37.7726,-122.4604,Conservatory of Flowers,2017-07-19 06:00:00,37.8086,-122.4316,Wave Organ,17.56,USD,39.12
Bangalore,UberXL,rider_canceled,2017-09-16 02:01:00,2017-09-16 02:28:00,12.9507,77.5848,Lalbagh Botanical Garden,2017-09-16 02:44:00,12.9758,77.6047,MG Road Metro Station,16.04,INR,29.06
Mumbai,UberPet,completed,2017-04-26 19:00:00,2017-04-26 19:07:00,18.9543,72.812,Marine Drive (Girgaum Chowpatty),2017-04-26 19:16:00,19.0169,72.8258,Bandra–Worli Sea Link (Worli end),6.48,INR,254.4
Sydney,UberX,driver_canceled,2017-02-14 09:55:00,2017-02-14 10:09:00,-33.8568,151.2153,Sydney Opera House,2017-02-14 10:32:00,-33.843,151.2413,Taronga Zoo,9.95,AUD,19.92
San Francisco,UberPool,completed,2017-06-02 07:22:00,2017-06-02 07:38:00,37.7901,-122.4058,Chinatown Dragon Gate,2017-06-02 08:25:00,37.7648,-122.4223,Clarion Alley (Mission District),18.93,USD,41.86
New York,UberPool,completed,2017-11-02 06:07:00,2017-11-02 06:31:00,40.7127,-74.0134,One World Trade Center,2017-11-02 06:56:00,40.7527,-73.9772,Grand Central Terminal,12.27,USD,28.54
Bangalore,UberX,completed,2017-10-19 19:21:00,2017-10-19 19:44:00,13.0034,77.589,Bangalore Palace,2017-10-19 19:51:00,12.9779,77.5725,Kempegowda Bus Station (Majestic),13.56,INR,466.8
Sydney,UberSUV,completed,2017-05-28 13:44:00,2017-05-28 13:54:00,-33.873235,151.206323,Sydney Town Hall,2017-05-28 14:48:00,-33.843,151.2413,Taronga Zoo,6.39,AUD,18.46
Sydney,UberPool,completed,2017-05-06 20:09:00,2017-05-06 20:27:00,-33.883,151.207,Central Station,2017-05-06 20:38:00,-33.8523,151.2108,Sydney Harbour Bridge Pylon Lookout,7.31,AUD,20.48
San Francisco,UberX,completed,2017-04-22 13:48:00,2017-04-22 13:51:00,37.7701,-122.4701,Japanese Tea Garden,2017-04-22 14:13:00,37.7694,-122.4862,Golden Gate Park,15.75,USD,35.5
Los Angeles,UberX,rider_canceled,2017-01-15 03:20:00,2017-01-15 03:43:00,33.9416,-118.4085,LAX – Terminal 4,2017-01-15 04:28:00,34.0562,-118.2365,Union Station,18.28,USD,32.42
New York,UberX,completed,2017-05-09 00:34:00,2017-05-09 00:49:00,40.7484,-73.9857,Empire State Building,2017-05-09 01:05:00,40.758,-73.9855,Times Square,3.07,USD,10.14
Mumbai,UberComfort,completed,2017-03-26 14:43:00,2017-03-26 14:51:00,19.0169,72.8258,Bandra–Worli Sea Link (Worli end),2017-03-26 15:01:00,18.9543,72.812,Marine Drive (Girgaum Chowpatty),13.76,INR,472.8
Bangalore,UberPool,driver_canceled,2017-08-28 04:36:00,2017-08-28 04:45:00,13.0034,77.589,Bangalore Palace,2017-08-28 05:00:00,12.8443,77.6637,Electronic City Phase 1,13.8,INR,25.7
Sydney,UberSelect,completed,2017-05-07 00:48:00,2017-05-07 01:03:00,-33.873235,151.206323,Sydney Town Hall,2017-05-07 01:11:00,-33.8568,151.2153,Sydney Opera House,12.63,AUD,32.19
Mumbai,UberX,completed,2017-03-27 20:35:00,2017-03-27 21:00:00,18.9543,72.812,Marine Drive (Girgaum Chowpatty),2017-03-27 21:06:00,19.0169,72.83,Siddhivinayak Temple,4.36,INR,190.8
Delhi,UberX,completed,2017-07-18 12:09:00,2017-07-18 12:31:00,28.5562,77.1,IGI Airport T3,2017-07-18 12:55:00,28.6129,77.2295,India Gate,12.29,INR,428.7
Manchester,UberSUV,completed,2017-05-05 04:16:00,2017-05-05 04:29:00,53.4687,-2.3476,The Trafford Centre,2017-05-05 05:15:00,53.4774,-2.2303,Manchester Piccadilly,13.19,GBP,37.98
San Francisco,UberX,completed,2017-06-15 19:10:00,2017-06-15 19:31:00,37.7764,-122.4346,Painted Ladies (Alamo Square),2017-06-15 19:43:00,37.7544,-122.4477,Twin Peaks,7.59,USD,19.18
Manchester,UberPet,completed,2017-11-16 20:07:00,2017-11-16 20:16:00,53.477,-2.2524,Science and Industry Museum,2017-11-16 20:36:00,53.47944,-2.245,Manchester Town Hall (Albert Sq),9.47,GBP,28.68
Los Angeles,UberXL,completed,2017-06-05 09:08:00,2017-06-05 09:21:00,34.0718,-118.3571,The Grove,2017-06-05 10:07:00,34.0562,-118.2365,Union Station,13.77,USD,31.54
San Francisco,UberSUV,completed,2017-04-11 08:55:00,2017-04-11 09:13:00,37.7802,-122.512,Land's End Lookout,2017-04-11 10:10:00,37.7802,-122.416,Asian Art Museum,16.19,USD,36.38
Manchester,UberComfort,completed,2017-07-25 06:15:00,2017-07-25 06:23:00,53.4831,-2.2004,Etihad Stadium,2017-07-25 07:16:00,53.47944,-2.245,Manchester Town Hall (Albert Sq),5.85,GBP,19.62
London,UberBlack,completed,2017-01-03 23:58:00,2017-01-04 00:09:00,51.5308,-0.1238,King's Cross Station,2017-01-04 01:04:00,51.5007,-0.1246,Big Ben (Elizabeth Tower),5.63,GBP,19.07
